index,language,difficulty,success,alignment_score,question_canonical_overlap,question_test_overlap,canonical_test_overlap,title
405,java,hard,0,32.46,0.3846,0.244,0.325,TLS Extension Processor Problem
406,java,medium,1,33.82,0.4151,0.2328,0.3409,Programming Problem: USSD Card Error Handler
407,java,hard,1,25.16,0.2874,0.2032,0.2523,Unit Test Runner Implementation
408,java,hard,0,23.43,0.2791,0.1607,0.2482,File Operations Handler
409,java,easy,1,29.53,0.3778,0.2222,0.2583,<problem_title>Enhanced API Response Handler</problem_title>
410,java,medium,1,36.84,0.4722,0.2602,0.338,Position Management System
411,java,easy,0,30.53,0.3854,0.2045,0.2993,<problem_title>Message Queue Configuration Simulator</problem_title>
412,java,easy,0,31.04,0.4649,0.184,0.2308,<section>
413,java,medium,0,26.23,0.3286,0.1878,0.2484,Graph Database Management System
414,java,easy,1,29.25,0.3622,0.203,0.2889,Game Engine Implementation Problem
415,java,hard,0,28.18,0.4171,0.1584,0.2246,Configuration Manager Implementation
416,java,hard,0,26.03,0.3095,0.1973,0.2576,<problem_title>Enhanced Tariff Management System</problem_title>
417,java,hard,0,20.04,0.3254,0.1081,0.1261,Advanced Palindrome Analysis
418,java,hard,0,28.12,0.4131,0.1991,0.1875,Enhanced Spotlight Simulation
419,java,medium,0,23.29,0.3714,0.1316,0.1494,Frequency Bandwidth Planning System
420,java,hard,1,34.35,0.4,0.2613,0.3504,Region Texture Pack Management System
421,java,medium,1,26.45,0.3445,0.2009,0.2215,E-commerce Data Processing Problem
422,java,hard,0,23.05,0.3575,0.1568,0.1348,Parallel Dot Product Calculator
423,java,easy,1,22.89,0.3594,0.1324,0.1515,Minesweeper Minimum Clicks Solver
424,java,hard,1,25.74,0.3415,0.1714,0.2313,Role-Based Access Control System
425,java,hard,0,29.15,0.3305,0.24,0.2909,<problem_description>
426,java,easy,1,28.49,0.3443,0.2563,0.2343,System Log Analysis Problem
427,java,medium,1,20.09,0.2461,0.1929,0.1488,Permission Validation System
428,java,easy,1,22.97,0.3443,0.1271,0.1795,Binary Search Tree Traversal Validator
429,java,medium,1,23.92,0.3367,0.1771,0.1714,Course Scheduling Problem
430,java,hard,0,27.36,0.3305,0.2301,0.2414,HTTP Request Simulator Implementation
431,java,hard,0,24.88,0.3249,0.2132,0.1831,Polling Queue Implementation
432,java,easy,1,33.04,0.4023,0.2289,0.3361,Database Table Metadata Analyzer
433,java,hard,1,26.43,0.3209,0.2169,0.2362,Bracket Validation Problem
434,java,hard,0,28.9,0.3194,0.2446,0.2929,Advanced Buffer Operations Problem
435,java,hard,1,22.1,0.3502,0.1176,0.152,Connection Monitor System
436,java,hard,0,25.52,0.365,0.1401,0.224,Game of Life Pattern Application
437,java,hard,0,26.65,0.3097,0.217,0.2584,Enhanced Exception Handling System
438,java,hard,0,31.17,0.3722,0.2489,0.2938,API Documentation Generator
439,java,hard,0,30.14,0.3507,0.2113,0.3259,Web Fragment Simulator Implementation
440,java,hard,0,23.12,0.3636,0.1214,0.1643,<problem_title>Celestial Body Simulation</problem_title>
441,java,medium,0,23.9,0.3029,0.1735,0.2195,String Processing Utility
442,java,hard,0,30.48,0.375,0.1991,0.3169,Currency Conversion System
443,java,medium,0,27.58,0.3814,0.1893,0.2214,Category Manager System
444,java,hard,0,28.18,0.4149,0.1743,0.2116,Enhanced Key-Value Store Implementation
445,java,hard,0,28.37,0.3947,0.1773,0.2419,Thread Execution with Timeout Handling
446,java,easy,1,29.79,0.3817,0.1806,0.3034,Function Concepts Demonstrator
447,java,hard,0,22.63,0.3013,0.1488,0.2037,Binary Tree Analysis Problem
448,java,hard,0,29.49,0.3793,0.1897,0.2874,WebSocket Message Handler Implementation
449,java,hard,0,27.95,0.3469,0.1888,0.2803,Authentication Token Validation System
450,java,medium,1,23.62,0.3696,0.1223,0.1721,Venue Seat Reservation System
451,java,easy,1,25.25,0.3207,0.1771,0.2368,User Authentication System
452,java,easy,0,27.7,0.3565,0.2083,0.2395,Enhanced Thread-Safe Blocking Queue Implementation
453,java,hard,0,15.62,0.2454,0.0636,0.1299,Wine Glass Consumption Problem
454,java,hard,0,31.19,0.3641,0.2656,0.2886,Message Processing System
455,java,medium,1,23.88,0.3893,0.1304,0.1466,<section>
456,java,hard,0,20.11,0.3292,0.0991,0.1322,Factory Simulation Problem
457,java,hard,0,22.12,0.2876,0.18,0.1739,Graph Analysis Problem
458,java,hard,0,27.68,0.3535,0.2048,0.2466,User Management System
459,java,easy,1,25.83,0.3352,0.2064,0.2078,Pool Data Processing Problem
460,java,hard,0,22.21,0.3265,0.1477,0.1572,Loop Intermediate Code Generator
461,java,easy,1,26.88,0.3815,0.1573,0.2302,<problem_title>Binary Tree In-order Successor</problem_title>
462,java,easy,1,24.58,0.2752,0.2511,0.2013,<problem_title>Bookmark URL Analyzer</problem_title>
463,java,hard,1,28.04,0.3677,0.1974,0.2471,Data Structure Analysis Problem
464,java,hard,1,24.93,0.3207,0.1739,0.2296,Asynchronous Response Handler Implementation
465,java,easy,1,26.93,0.4522,0.1195,0.1753,Date Utility Class Implementation
466,java,easy,1,25.27,0.3807,0.1624,0.1722,Graph Path Analyzer using Dijkstra's Algorithm
467,java,hard,1,27.94,0.3687,0.2147,0.2252,Authentication System Implementation
468,java,medium,0,29.42,0.4036,0.1847,0.2579,<problem_description>
469,java,medium,1,25.02,0.3265,0.2038,0.195,File Operations Manager Implementation
470,java,hard,1,27.93,0.3829,0.1781,0.2422,<problem_description>
471,java,easy,1,27.68,0.3974,0.181,0.2118,Player Management System
472,java,easy,1,22.22,0.2682,0.2,0.183,Alert Monitoring System Implementation
473,java,hard,0,28.23,0.3491,0.2049,0.2706,Scenario Tree Analyzer Problem
474,java,hard,1,21.61,0.3368,0.1156,0.1556,Thread Management System
475,java,hard,0,33.28,0.3627,0.2564,0.3692,Enhanced OTG Transformer Factory Problem
476,java,hard,1,27.84,0.3692,0.1857,0.25,Naval Battle Game Adapter Implementation
477,java,easy,1,20.1,0.3161,0.1714,0.0769,String Processing Challenge
478,java,medium,1,23.04,0.3288,0.1573,0.1724,<header>
479,java,hard,0,30.28,0.3946,0.209,0.2741,User Authentication System
480,java,easy,0,23.57,0.3617,0.1436,0.1597,Shortest Addition Chain Problem
481,java,easy,1,24.06,0.3364,0.165,0.1884,Peer-to-Peer Address Server Implementation
482,java,hard,0,31.11,0.3564,0.2389,0.3231,Content Provider URI Validator
483,java,medium,0,23.52,0.3433,0.1718,0.1544,File Upload Content-Disposition Parser
484,java,hard,1,21.96,0.339,0.1393,0.1408,<problem_description>
485,java,easy,1,29.98,0.3452,0.2299,0.3091,Programming Problem: Number List Analyzer
486,java,medium,0,16.14,0.2576,0.0952,0.0992,Cargo Trip Optimization Problem
487,java,hard,0,25.11,0.3211,0.1765,0.2326,Request Parameter Processor Problem
488,java,medium,0,21.44,0.2698,0.1943,0.1606,Grid Cycle Detection Problem
489,java,hard,1,25.7,0.434,0.1163,0.1619,Pagination Utility Implementation
490,java,hard,0,27.43,0.3118,0.2304,0.2683,Chat Server Message Processor
491,java,hard,0,26.64,0.3829,0.1429,0.2348,Binary Search Tree Implementation
492,java,hard,1,24.69,0.342,0.1742,0.193,<problem_description>
493,java,medium,1,22.3,0.3316,0.1596,0.1417,Advanced String Processing Problem
494,java,medium,1,20.39,0.2326,0.1474,0.2222,Piano Octave Management System
495,java,medium,1,24.39,0.339,0.203,0.1579,Advanced Word Break Problem
496,java,medium,1,21.23,0.3058,0.1286,0.1714,Message Producer System
497,java,hard,1,21.93,0.2914,0.153,0.1895,Binary Search Tree Validator
498,java,hard,1,21.27,0.279,0.1552,0.1818,Pagination Service Implementation
499,java,hard,1,29.58,0.2857,0.2474,0.3578,Accident Nature Information System
500,java,hard,0,29.39,0.3297,0.2674,0.2727,Problem: User Authentication Service
501,java,medium,1,22.13,0.3626,0.1183,0.1361,Linked List Node Swapping Problem
502,java,hard,0,29.33,0.345,0.2308,0.287,User Credentials Validation System
503,java,easy,0,22.65,0.301,0.1754,0.1783,Class Requirements
504,java,hard,0,25.56,0.3674,0.1834,0.1788,Enhanced Layout Manager Problem
505,java,hard,0,26.05,0.3421,0.1791,0.2331,User Authentication Service Implementation
506,java,medium,0,27.48,0.3417,0.1971,0.2632,Pagination System Implementation
507,java,easy,1,23.74,0.2641,0.2009,0.2384,User Information Batch Processing System
508,java,easy,1,20.04,0.2947,0.1243,0.1508,Deterministic Finite Automaton (DFA) Implementation
509,java,hard,0,27.27,0.3636,0.1786,0.2456,Pagination Manager Implementation
510,java,easy,1,26.0,0.3923,0.1452,0.1984,<problem_description>
511,java,easy,0,25.29,0.3155,0.2222,0.2,File Path Analyzer
512,java,hard,1,26.66,0.3484,0.2,0.2243,Enhanced String Utility Class
513,java,hard,0,25.97,0.3084,0.2,0.2545,User Management System Implementation
514,java,hard,0,29.05,0.3517,0.2054,0.2941,OAuth2 User Authentication System
515,java,hard,0,33.03,0.4273,0.2581,0.2732,<problem_title>Client Management System</problem_title>
516,java,easy,1,28.24,0.3763,0.1832,0.2564,Time Difference Calculator
517,java,medium,1,32.66,0.3833,0.2595,0.3182,Authentication System Validator
518,java,hard,0,28.33,0.3455,0.2083,0.2754,User Management System
519,java,medium,1,17.48,0.1856,0.1326,0.2027,Observer Pattern Implementation
520,java,medium,1,26.32,0.3026,0.2124,0.2613,File Processing and Analysis System
521,java,hard,1,26.75,0.4067,0.1659,0.1837,Grid Path Finder with Analysis
522,java,easy,1,24.29,0.3299,0.1395,0.2301,Class Requirements
523,java,hard,0,28.06,0.3015,0.2419,0.2913,SSH Connection Manager Implementation
524,java,hard,0,33.44,0.4104,0.2544,0.313,User Management System
525,java,hard,0,27.95,0.3448,0.2158,0.256,Employee Information Validator
526,java,medium,1,19.13,0.2605,0.1129,0.1774,Problem: Implementing an Enhanced Trie Data Structure
527,java,hard,1,24.92,0.3448,0.1581,0.2126,Binary Tree Path Analyzer
528,java,hard,0,18.99,0.301,0.0984,0.1333,<problem_title>Triangle Path Analyzer</problem_title>
529,java,hard,0,22.98,0.3091,0.1649,0.1888,Advanced Flag Combination Generator
530,java,medium,0,27.97,0.383,0.1522,0.2696,Date Analysis Utility
531,java,easy,1,29.73,0.3429,0.2446,0.2893,Airplane Fleet Management System
532,java,hard,1,25.24,0.3213,0.2075,0.2055,Emoji Manager Implementation
533,java,medium,1,22.87,0.2824,0.1604,0.2255,Enhanced Queue Implementation
534,java,medium,1,23.16,0.3585,0.1478,0.1462,Egg Drop Problem Solver
535,java,medium,1,23.04,0.3017,0.1627,0.2033,Category Hierarchy Management System
536,java,hard,0,26.88,0.3584,0.1907,0.2273,<problem_title>Steam User Management System</problem_title>
537,java,medium,1,24.43,0.3514,0.1814,0.1646,Data Matching Problem
538,java,hard,1,26.85,0.4236,0.1454,0.1849,Tic-Tac-Toe Game Implementation
539,java,hard,0,29.32,0.37,0.2423,0.2416,Programming Problem: Enhanced Test Utilities
540,java,hard,0,34.96,0.3687,0.2844,0.3893,Server Configuration Approval System
541,java,hard,1,14.36,0.2037,0.0805,0.1264,Longest Consecutive Sequence with Jokers
542,java,hard,0,31.67,0.38,0.3167,0.2324,Post Creation Validation System
543,java,hard,1,25.71,0.3529,0.1714,0.215,Doubly Linked List Implementation
544,java,easy,0,22.11,0.2738,0.169,0.2029,Reddit Feed Analysis Problem
545,java,hard,1,28.07,0.3904,0.211,0.2042,Financial Report Analyzer Problem
546,java,medium,1,28.37,0.453,0.1667,0.1748,Permutation Generation Problem
547,java,hard,1,28.61,0.3793,0.2098,0.2381,Chain of Responsibility Pattern Implementation
548,java,easy,1,29.26,0.3989,0.2135,0.2302,User Settings Management System
549,java,hard,0,26.46,0.346,0.1806,0.2403,Game Character Customization System
550,java,medium,1,24.55,0.3632,0.165,0.1691,Enhanced MergeSort Implementation
551,java,hard,0,31.16,0.3261,0.2807,0.3232,Class Requirements
552,java,hard,0,32.65,0.3769,0.2524,0.3333,Product Management System
553,java,easy,1,24.57,0.3739,0.157,0.1636,Matrix Zero Processor Problem
554,java,medium,1,25.21,0.3196,0.1913,0.223,Message System Simulator Implementation
555,java,hard,0,25.47,0.2986,0.201,0.25,User Management System
556,java,hard,0,19.75,0.3212,0.0963,0.1339,Problem: Generating All Subsets of an Integer Array
557,java,hard,1,26.65,0.3853,0.1667,0.2081,<header>
558,java,medium,1,24.39,0.2831,0.1648,0.2708,<problem_title>Dual-Action Mechanism Controller</problem_title>
559,java,medium,1,23.47,0.3438,0.173,0.151,Secure Payment URL Generator
560,java,hard,0,22.09,0.3249,0.141,0.162,<section>
561,java,easy,1,21.9,0.2842,0.163,0.188,Task Management System
562,java,hard,0,31.39,0.4021,0.2206,0.2895,Company Employee Management System
563,java,easy,1,29.39,0.3512,0.2828,0.2284,Message Processing System
564,javascript,hard,0,7.16,0.0588,0.1268,0.0333,Write a JavaScript function `base64Encode` that converts a given string into Base64 encoding.
565,javascript,hard,0,14.18,0.2222,0.1364,0.04,Write a JavaScript function named `countUniqueBSTs` that calculates the number of distinct binary search trees that can be formed given a certain number of nodes.
566,javascript,hard,0,17.33,0.3036,0.1159,0.0568,Write a JavaScript function `numFactoredBinaryTrees` that takes an array of integers `arr` as input and returns an integer. This integer represents the number of different binary trees that can be constructed using the integers in the array as node values. Each non-leaf node's value should be equal to the product of its two child node values. Each number in the array can be used multiple times in the tree.
567,java,hard,0,27.04,0.3029,0.2267,0.2708,Class Requirements
568,javascript,easy,1,24.9,0.3,0.2059,0.2241,Write a JavaScript function `binaryToDecimal` that converts a binary string into its corresponding decimal value. The function needs to handle various edge cases and invalid inputs.
569,javascript,hard,0,17.94,0.243,0.1806,0.0933,Write a JavaScript function `combinationSum3` that takes two integer parameters `k` and `n` and returns all combinations of `k` distinct numbers that satisfy the following conditions:
570,javascript,hard,0,16.44,0.2331,0.1136,0.1236,Write a JavaScript function `multiplyLargeNumbers` that multiplies two strings representing non-negative integers and returns their product as a string.
571,javascript,hard,0,20.18,0.2442,0.2069,0.1404,Write a JavaScript function `octalToBinary` that converts a given octal number string into its corresponding binary string.
572,javascript,easy,1,19.86,0.2551,0.2469,0.075,Write a JavaScript function `getPermutations` that takes an array as input and returns all possible permutations of that array.
573,javascript,hard,1,28.16,0.3131,0.3061,0.2152,Implement a JavaScript Stack class that supports the following operations:
574,java,hard,1,24.91,0.3706,0.1569,0.1792,Sand Clock Pattern Generator
575,javascript,easy,1,17.43,0.1136,0.31,0.1194,Implement a queue data structure using stacks in JavaScript. Your implementation should include the following methods:
576,javascript,hard,0,23.79,0.2075,0.2793,0.2368,Implement a Simple Key-Value Storage System
577,javascript,hard,0,32.01,0.3402,0.3861,0.2273,Write a JavaScript function `formatCalendarEvents` that takes an array of calendar events and returns an array of formatted strings.
578,javascript,hard,1,19.95,0.1667,0.2889,0.1538,Implement a Binary Search Tree (BST) in JavaScript with the following functionality:
579,javascript,hard,1,19.35,0.1855,0.218,0.1798,Implement a graph data structure and its depth-first search (DFS) method. The specific requirements are as follows:
580,javascript,hard,1,27.16,0.322,0.3011,0.1748,Write a JavaScript function `convertToNewYorkTime` that converts a Unix timestamp to a time string in the US New York timezone.
581,javascript,hard,0,31.5,0.2781,0.4407,0.2385,Implement a customer order tracking system in JavaScript using the following classes:
582,javascript,hard,0,28.38,0.2381,0.3619,0.2667,Implement a JavaScript class named DataStore for storing and managing records. The class should provide the following functionalities:
583,javascript,hard,1,22.0,0.1908,0.3269,0.152,Write a JavaScript function `evaluateExpression` that evaluates an expression represented by a nested object. The expression object can include the following types:
584,javascript,hard,1,26.51,0.2364,0.3153,0.2533,"Implement a Then class to handle the results of asynchronous operations. This class should be able to handle synchronous return values, thrown errors, as well as Promise resolution and rejection."
585,javascript,medium,1,28.91,0.2519,0.3869,0.2411,Please implement a color guessing game class ColorGame in JavaScript with the following requirements:
586,javascript,hard,0,18.3,0.172,0.1765,0.2041,Implement a user authentication system class `UserAuthSystem` that includes the following functionalities:
587,javascript,hard,0,31.8,0.281,0.3583,0.3269,Implement a ProcedureManager class in JavaScript that manages medical procedures with the following functionality:
588,javascript,hard,0,27.67,0.2812,0.3504,0.1969,Implement a DatabaseQueryBuilder class with the following methods:
589,javascript,easy,1,32.65,0.2783,0.3645,0.3529,"Implement a service management system by writing a `ServiceManager` class in JavaScript, which should include the following functionalities:"
590,javascript,hard,0,28.41,0.2308,0.3667,0.2727,Write a JavaScript function `productListManager` to manage the state of a product list. The function should handle the following operations:
591,javascript,hard,0,32.64,0.3208,0.3717,0.2887,Implement a JSend utility library with the following functionalities:
592,javascript,hard,0,40.27,0.352,0.373,0.5,Write a JavaScript function `handleEvent` that can handle different types of events and return the corresponding response object. The function should accept two parameters: `eventType` (a string) and `eventData` (an object).
593,javascript,hard,0,21.96,0.1985,0.259,0.2083,JavaScript Programming Problem: Implement a WatchManager Class
594,javascript,hard,1,19.73,0.1933,0.2804,0.1196,Implement a Deck class to simulate the operations of a deck of cards. The class should support the following functionalities:
595,javascript,easy,1,34.03,0.3407,0.314,0.3659,JavaScript Programming Problem: Array Calculator
596,javascript,hard,0,33.4,0.2712,0.4071,0.3448,Write a JavaScript function named `validateDatabaseSchema` to validate whether the structure of a database schema conforms to the specifications. The function should accept an object representing the database schema as input and return the validated schema object or throw an appropriate error.
597,javascript,hard,0,35.84,0.3897,0.3643,0.3107,Write a JavaScript function `startServer` that starts a specified type of server and returns the operation result. The function must meet the following requirements:
598,javascript,hard,0,30.97,0.2653,0.3878,0.2908,"Implement a simple authentication system, requiring the following functionalities to be written in JavaScript:"
599,javascript,hard,0,22.89,0.2302,0.295,0.161,Implement a simple module system that supports the following functionalities:
600,javascript,hard,0,32.05,0.313,0.4031,0.2478,Write a JavaScript function `configureCORS` to handle CORS (Cross-Origin Resource Sharing) configuration for HTTP requests. The function should:
601,javascript,medium,1,24.34,0.1667,0.4062,0.1829,Please implement a news generator `NewsGenerator` in JavaScript with the following functionalities:
602,javascript,hard,1,23.48,0.2162,0.307,0.1875,Implement a LinkedList class in JavaScript with the following methods:
603,javascript,hard,1,35.14,0.3214,0.3945,0.3483,Write a JavaScript function `handleInputEvents` that can process various input events and return normalized event data. The function needs to support the following event types:
604,javascript,hard,0,25.16,0.2077,0.2774,0.2842,Implement a simple to-do manager function `todoManager` that can handle the following commands:
605,javascript,hard,0,23.37,0.194,0.3444,0.1758,Implement a calculator object that includes the following methods:
606,javascript,hard,0,22.52,0.2048,0.2579,0.2199,JavaScript Programming Problem: Social Circle Manager
607,javascript,easy,1,36.31,0.3186,0.4563,0.3293,"Implement a vehicle prototype hierarchy, requiring the creation of the following constructors and objects using JavaScript:"
608,javascript,medium,1,26.93,0.2927,0.3333,0.1742,JavaScript File Processor Task
609,javascript,easy,1,34.96,0.3168,0.4059,0.3371,Implement a user service in JavaScript that provides the following functionality:
610,javascript,medium,0,30.99,0.3206,0.3388,0.2667,JavaScript Programming Problem: Data Formatting and Processing
611,javascript,hard,0,24.06,0.2602,0.2647,0.1905,Write a JavaScript function `simulateEnemyBehavior` to simulate the behavior of an enemy in a game. The function should determine the enemy's movement direction and state based on the positional relationship between the player and the enemy.
612,javascript,medium,0,28.85,0.2613,0.3103,0.303,Write a JavaScript function `spellInfoManager` that manages the state of spell information. The function should handle different action types and update the state object accordingly based on the action.
613,javascript,hard,0,30.74,0.2416,0.3718,0.3308,Implement a movie database management system that needs to fulfill the following functionalities:
614,javascript,hard,0,20.76,0.1844,0.2692,0.1769,Implement a `createStyledComponent` function that can create styled React components. The function should meet the following requirements:
615,javascript,hard,1,28.62,0.2804,0.3362,0.2439,"Write a JavaScript function named `processServicePage` that handles the service page state based on different action types. The function should accept the current state and an action object as parameters, and return the updated state."
616,javascript,easy,1,26.9,0.287,0.2903,0.2237,Implement a voting system class named VotingSystem that supports the following functionalities:
617,javascript,medium,0,30.01,0.269,0.3442,0.2975,Implement a DatabaseSimulator class in JavaScript that simulates basic database operations. The class should support the following operations:
618,javascript,hard,0,29.89,0.2406,0.3421,0.3333,Implement a VisualTransformController class to manage the transformation of visual elements and slide presentations. The class must meet the following requirements:
619,javascript,hard,0,33.72,0.3487,0.3768,0.2823,Write a JavaScript function `GameEndSequence` to manage the animation sequence when a game ends. This function should accept a game state object as a parameter and return an object containing update methods.
620,javascript,hard,0,19.27,0.25,0.2143,0.0948,"Write a JavaScript function `findShortestPath` that takes a 2D array representing a maze and returns the length of the shortest path from the top-left corner to the bottom-right corner. If no such path exists, return -1."
621,javascript,hard,0,24.75,0.2101,0.3113,0.2336,Write a JavaScript function `validateForm` to validate the form data's validity. The function should accept an object containing form fields as input and return an object containing the validation results.
622,javascript,hard,0,28.74,0.2868,0.3333,0.2424,"Write a JavaScript function `getWhiteElephantMoves(x, y, board)` to calculate all legal move positions for the white elephant (相) in Chinese chess on a given board."
623,javascript,hard,1,34.37,0.3333,0.3712,0.3299,Write a JavaScript function `setupExpressServer` that takes a configuration object and returns an object representing the initialization state of an Express server.
624,javascript,hard,0,17.65,0.2353,0.2109,0.0636,Write a JavaScript function `mergeTwoLists` that takes two sorted linked lists and merges them into a new sorted linked list. The new list should be created by splicing together the nodes of the two input lists.
625,javascript,hard,1,21.68,0.2192,0.2917,0.1389,"Write a JavaScript function `isArrowFunction` to determine whether a given argument is an arrow function. The function should accept one parameter and return a boolean value: `true` if the parameter is an arrow function, and `false` otherwise."
626,javascript,hard,0,28.35,0.2544,0.2804,0.3256,Write a JavaScript function `validateOrder` to validate the validity of an order object. The function should accept an order object as a parameter and return an object containing the validation results.
627,javascript,medium,1,25.49,0.2523,0.2897,0.2237,Implement a Binary Search Tree (BST) in JavaScript with the following operations:
628,javascript,medium,0,13.41,0.1408,0.1111,0.1481,"Write a JavaScript function `isValidParentheses` to determine whether a given string contains valid parentheses combinations. The string may only contain the following characters: '(', ')', '{', '}', '[', ']'."
629,javascript,hard,0,22.2,0.2126,0.2344,0.2222,Implement a simple state manager that can manage a state object consisting of two parts: head and body. The state manager must implement the following functionalities:
630,javascript,medium,1,16.93,0.162,0.2072,0.1412,Write a JavaScript function `processIntcode` that simulates a simplified Intcode computer. The function takes two parameters:
631,javascript,easy,1,31.07,0.2483,0.4274,0.2772,Implement a TicTacToe game class with the following functionalities:
632,javascript,hard,0,34.66,0.3933,0.3684,0.2626,Write a JavaScript function named `validateObject` that can validate an object based on given rules. The function should return an object containing the validation results.
633,javascript,hard,0,34.84,0.3655,0.4327,0.2411,"Write a JavaScript function `validateAndProcessVariable` to validate whether a variable name is valid and process the variable information. The function should accept 2-3 parameters: the variable name, the initial value, and an optional reassigned value."
634,javascript,easy,1,25.03,0.3,0.2474,0.1868,Implement a Stack Using Queues
635,javascript,hard,0,31.78,0.3056,0.379,0.2727,Write a JavaScript function `validateAndAuthenticate` that validates user credentials and performs authentication. The function must meet the following requirements:
636,javascript,hard,0,23.19,0.28,0.2449,0.1546,"Write a JavaScript function `findArrayTriplet` that takes an array and a target number as parameters, and returns a combination of three distinct elements from the array whose sum equals the target number. If no such combination exists, return an empty array."
637,javascript,easy,1,20.53,0.2576,0.1786,0.1622,"Write a JavaScript function `mapUrlToHtmlFile` that returns the corresponding HTML filename based on the given URL path. The input of the function is a string representing the URL path, and the output is also a string representing the corresponding HTML filename."
638,javascript,hard,0,37.72,0.3622,0.4031,0.3714,"Write a JavaScript function `processRequest` to handle HTTP requests and return corresponding responses. The function should return different response content based on the request's path and method, and handle various edge cases."
639,javascript,hard,0,34.29,0.3111,0.3133,0.4151,"Write a JavaScript function `factorial` that calculates the factorial of a non-negative integer. The function should support two calculation methods: iterative and recursive, and handle various error cases."
640,javascript,hard,1,34.88,0.3103,0.425,0.3238,JavaScript Event Handler Implementation
641,javascript,medium,0,29.14,0.2626,0.3333,0.2879,Write a JavaScript function `parseMessage` that can parse a JSON-formatted message string and return different results based on the validity of the input.
642,javascript,hard,0,30.51,0.269,0.3768,0.2815,Implement a CreepRoleManager class to manage creep roles and their behaviors in a game. The class should support the following functionalities:
643,javascript,medium,0,27.08,0.2231,0.4113,0.1939,Write a JavaScript function `KeyboardInputManager` to manage keyboard input events. The function must meet the following requirements:
644,javascript,hard,1,23.16,0.2436,0.209,0.2381,Write a JavaScript function `fizzBuzz` that takes an input and returns a specific string according to the following rules:
645,javascript,easy,0,17.61,0.1522,0.236,0.1481,"Write a JavaScript function `hasCycle` to determine whether a given linked list contains a cycle. The linked list is created by the `createLinkedList` function, which takes an array of node values and an optional index (0-based) indicating the position where the cycle starts. If no cycle position is provided, it means the list has no cycle."
646,javascript,easy,1,21.98,0.2628,0.2342,0.1481,"Write a JavaScript function `advantageCount` that takes two integer arrays `A` and `B` of the same length as parameters. The function's task is to rearrange the array `A` such that for each index `i`, the value of `A[i]` is as large as possible compared to `B[i]`. If it is impossible to make `A[i]` greater than `B[i]`, the smallest available element in `A` should be placed at that position. Finally, return the rearranged array `A`."
647,javascript,medium,1,26.94,0.2056,0.3646,0.2593,Implement a state manager class StateManager that supports the following functionalities:
648,javascript,hard,0,32.42,0.314,0.3023,0.3596,Write a JavaScript class `CatManager` to manage a database of cat information. The class should implement the following functionalities:
649,javascript,hard,0,25.19,0.312,0.19,0.2338,Write a JavaScript function named `mathProcessor` that performs basic mathematical operations and handles various input scenarios. The function should meet the following requirements:
650,javascript,hard,1,28.42,0.253,0.44,0.1701,Write a JavaScript function `generateJWT` that generates a JSON Web Token (JWT).
651,javascript,medium,1,25.31,0.3026,0.2364,0.2037,"Write a JavaScript function `reverseInteger` that takes a positive integer as input and returns the reversed form of the number. If the input is not a positive integer, the function should return an appropriate error message."
652,javascript,hard,0,17.55,0.1736,0.1504,0.2031,Implement a user data processing class `UserDataProcessor` for managing and querying user data. The specific requirements are as follows:
653,javascript,medium,1,22.31,0.1786,0.3276,0.178,Write a JavaScript class `UserPasswordHandler` for managing user password creation and verification. The class should meet the following requirements:
654,javascript,hard,0,39.93,0.3717,0.4123,0.4231,Implement a simple product database class `ProductDatabase` that supports the following operations:
655,javascript,easy,1,35.44,0.3615,0.422,0.2773,Implement a simple user authentication system by writing an `AuthenticationSystem` class in JavaScript. The class should support the following functionalities:
656,javascript,easy,1,29.06,0.2453,0.3438,0.2977,Implement a mock API class `ApiSimulator` that supports the following operations:
657,javascript,hard,1,18.23,0.1529,0.2698,0.1339,Implement a reactive system by creating a function named `vueReactiveSystem` that accepts an object with the following properties as parameters:
658,javascript,hard,0,32.96,0.2606,0.4719,0.2793,JavaScript Array Operation Function Implementation
659,javascript,medium,1,28.95,0.2946,0.3193,0.2527,Write a JavaScript function `validateCredentials` to verify whether the username and password provided by the user match the system-stored credentials. The function should handle various validation scenarios and return corresponding status information.
660,javascript,hard,0,24.82,0.2193,0.271,0.2639,"Write a JavaScript function `checkAllOf` that takes two arrays as parameters and checks whether all elements of the first array exist in the second array. The function should return an object with a boolean property `allPresent`, indicating whether all elements are present in the second array. If either input is not an array, return an object with an `error` property set to ""Both inputs must be arrays""."
661,javascript,medium,0,28.05,0.2745,0.2766,0.2923,Write a JavaScript function `processAuthentication` to handle user authentication operations. The function needs to support both login and logout functionalities and return corresponding results based on different inputs.
662,javascript,hard,0,29.84,0.2816,0.3544,0.2649,Write a JavaScript function `airplanePathSimulation` to simulate the flight state of an airplane along a predefined path. The function should return an object containing methods to update the airplane's position and retrieve its current state.
663,javascript,hard,0,27.58,0.3626,0.2388,0.197,"Write a JavaScript function `calculateEvenOddDifference` that takes a string as input, which contains only numeric characters (0-9). The function's task is to calculate the difference between the sum of all digits at even positions and the sum of all digits at odd positions (even sum - odd sum). Positions start counting from 1, meaning the first character is at position 1 (odd position), the second character is at position 2 (even position), and so on."
664,javascript,hard,0,25.27,0.2727,0.3008,0.178,Write a JavaScript function `processParameters` that accepts a variable number of arguments and returns an object containing user information and a greeting message.
