audit_id,title,question_excerpt,first_failure_stage,first_failure_outcome,stderr_excerpt,stdout_excerpt,review_failure_category,review_runtime_subtype,review_notes,reviewer
AUD-044,Write a PHP function `parseChatMessages` that can parse an array of chat messages and convert each message into structured data.,"Write a PHP function `parseChatMessages` that can parse an array of chat messages and convert each message into structured data. Input: - An array that may contain multiple chat messages - Each valid message should be in the format: ""YYYY년 M월 D일 오전/오후 H:MM, username : message content"" - The array may contain invalid format messages or ...",demo,RUNTIME_ERROR,PHP Fatal error: Uncaught Error: Cannot use object of type stdClass as array in /data/codes/php/8cc9867a1208490ba06bdbc967e09b2e/test.php:95 Stack trace: #0 /data/codes/php/8cc9867a1208490ba06bdbc967e09b2e/test.php(123): testParseChatMessages() #1 {main} thrown in /data/codes/php/8cc9867a1208490ba06bdbc967e09b2e/test.php on line 95,,,,,
AUD-045,Implement a TaskManager class in PHP that manages a collection of tasks with the following functionality:,"Implement a TaskManager class in PHP that manages a collection of tasks with the following functionality: 1. Adding tasks with validation: - Method: addTask($taskName) - Must reject empty strings or strings with only whitespace - Each task should have: taskName, unique key (timestamp-based), createdAt timestamp, and completed status (d...",demo,RUNTIME_ERROR,"PHP Warning: Undefined array key ""remainingTasks"" in /data/codes/php/5743f94c48e44c399b9ea2e050826e48/test.php on line 173 PHP Fatal error: Uncaught AssertionError: assert($result2['remainingTasks'] === 0) in /data/codes/php/5743f94c48e44c399b9ea2e050826e48/test.php:173 Stack trace: #0 /data/codes/php/5743f94c48e44c399b9ea2e050826e48/t...",,,,,
AUD-046,**HTML Element Extractor**,**HTML Element Extractor** Write a Python function named `extract_html_elements` that analyzes an HTML string and extracts specific elements into a structured dictionary. The function should process the HTML content and return statistics about certain elements. **Input:** - A string containing HTML content (possibly malformed or empty)...,demo,RUNTIME_ERROR,"File ""/data/codes/python/7d331f48470f4b2bb4a5b7a747ee1bd0/test.py"", line 98 if tag == ^ SyntaxError: invalid syntax",,,,,
AUD-047,**Problem: Format Text with Typographic Conventions**,**Problem: Format Text with Typographic Conventions** Write an R function named `format_text` that processes a given input string to apply specific typographic conventions. The function should handle various text formatting rules as demonstrated in the test cases. **Input Format:** - The input can be any string or an integer. If the in...,demo,RUNTIME_ERROR,"Error: unexpected symbol in: "" demo_test"" Execution halted",,,,,
AUD-048,**String Manipulation Function in Racket**,"**String Manipulation Function in Racket** Write a Racket function called `manipulate-string` that performs three specific operations on an input string and returns the results in a hash table. The function should handle various edge cases including empty strings, non-alphabetic characters, and invalid input types. **Input:** - The fun...",demo,RUNTIME_ERROR,"Test 1 failed: #hash((alternating-case . HeLlO wOrLd) (reversed . dlroW olleH) (vowel-count . 3)) context...: body of ""/var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-racket-3rylt7wu/test.rkt""",Running demo tests...,,,,
AUD-049,"Implement an Elasticsearch configuration manager in Scala that handles index configurations, including page sizes and mappings. The manager must:","Implement an Elasticsearch configuration manager in Scala that handles index configurations, including page sizes and mappings. The manager must: 1. Store and retrieve page sizes for different indices 2. Store and retrieve JSON mapping configurations for indices 3. Validate configurations before storing them 4. Check if an index is alr...",demo,RUNTIME_ERROR,Compiling /data/codes/scala/b7589530f312473983b8c37102ed3577/test.sc java.lang.AssertionError: assertion failed scala.runtime.Scala3RunTime$.assertFailed(Scala3RunTime.scala:11) ammonite.$file.test$.demo_test(test.sc:78) ammonite.$file.test$.<clinit>(test.sc:84),,,,,
AUD-050,Implement a simple in-memory database class called SimulatedDB in TypeScript that supports the following operations:,"Implement a simple in-memory database class called SimulatedDB in TypeScript that supports the following operations: 1. create(key, value): Creates a new key-value pair. Returns an error if the key already exists. 2. get(key): Retrieves the value for a specified key. Returns an error if the key doesn't exist. 3. put(key, value): Update...",demo,WRONG_ANSWER,Assertion failed: Test Case 1: Create operation failed Assertion failed: Test Case 1: Get operation failed npm notice npm notice New major version of npm available! 10.8.2 -> 11.11.0 npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.11.0 npm notice To update run: npm install -g npm@11.11.0 npm notice,,,,,
AUD-051,Write a TypeScript function `configureExpressServer` that configures an Express server and returns an object containing configuration information and a start method.,"Write a TypeScript function `configureExpressServer` that configures an Express server and returns an object containing configuration information and a start method. Function requirements: 1. Accept a configuration object as a required parameter. If the parameter is not an object, throw an error: ""Invalid options: must provide configur...",full,WRONG_ANSWER,Assertion failed: Test case 4 failed npm notice npm notice New major version of npm available! 10.8.2 -> 11.11.0 npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.11.0 npm notice To update run: npm install -g npm@11.11.0 npm notice,,,,,
AUD-052,Create a TypeScript module `areaUtils` that implements the following functionality:,"Create a TypeScript module `areaUtils` that implements the following functionality: 1. `isIdList(ids)` - Checks if a given array contains only numeric string IDs - Input: An array of elements of any type - Output: Boolean, returns true if and only if all elements are numeric strings 2. `resolveAreaList(input)` - Parses an input string ...",demo,WRONG_ANSWER,Assertion failed: Test 2 failed npm notice npm notice New major version of npm available! 10.8.2 -> 11.11.0 npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.11.0 npm notice To update run: npm install -g npm@11.11.0 npm notice,,,,,
AUD-053,Create a TypeScript module `SymbolGenerator` that implements the following two functions:,"Create a TypeScript module `SymbolGenerator` that implements the following two functions: 1. `convertSymbol(originalName: string, symbolTable: Record<string, string>, mode?: ""short"" | ""long""): string` - Converts an original symbol name to a new symbol name - Parameters: - `originalName`: string representing the original symbol name - `...",demo,WRONG_ANSWER,"Assertion failed: Test 1 failed: expected ""$DB_"" got ""my$DB_module$DB_function"" npm notice npm notice New major version of npm available! 10.8.2 -> 11.11.0 npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.11.0 npm notice To update run: npm install -g npm@11.11.0 npm notice",Demo tests completed,,,,
AUD-054,Implement a MockRequestService class to simulate HTTP request services. The class should support the following methods:,Implement a MockRequestService class to simulate HTTP request services. The class should support the following methods: 1. get(path) - Sends a GET request - Returns a parsed JSON object on success - Throws an error object with status and message properties on failure 2. head(path) - Sends a HEAD request - Returns an object with statusC...,demo,WRONG_ANSWER,Assertion failed: Test case 1 failed npm notice npm notice New major version of npm available! 10.8.2 -> 11.11.0 npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.11.0 npm notice To update run: npm install -g npm@11.11.0 npm notice,,,,,
AUD-055,"Implement a user authentication manager function in TypeScript that handles login, signup, and password change operations. The function should validate inputs and return appropriate success/error responses.","Implement a user authentication manager function in TypeScript that handles login, signup, and password change operations. The function should validate inputs and return appropriate success/error responses. Function Name: userAuthManager Parameters: 1. operation (string): One of 'login', 'signup', or 'changePassword' 2. credentials (ob...",demo,WRONG_ANSWER,Assertion failed: Test case 1 failed Assertion failed: Test case 2 failed npm notice npm notice New major version of npm available! 10.8.2 -> 11.11.0 npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.11.0 npm notice To update run: npm install -g npm@11.11.0 npm notice,Demo tests completed,,,,
AUD-056,"Write a TypeScript function `validateOTP` to validate a One-Time Password (OTP). The function should accept two parameters: a string `otp` and a number `expectedLength`, and return an object containing the validation results.","Write a TypeScript function `validateOTP` to validate a One-Time Password (OTP). The function should accept two parameters: a string `otp` and a number `expectedLength`, and return an object containing the validation results. Validation rules: 1. OTP cannot be empty (length must be greater than 0) 2. OTP length must exactly match `expe...",full,WRONG_ANSWER,Assertion failed Assertion failed npm notice npm notice New major version of npm available! 10.8.2 -> 11.11.0 npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.11.0 npm notice To update run: npm install -g npm@11.11.0 npm notice,,,,,
AUD-057,Write a TypeScript function `processFantasyActivity` that parses HTML content containing a list of fantasy sports league activities and returns processed activity information.,"Write a TypeScript function `processFantasyActivity` that parses HTML content containing a list of fantasy sports league activities and returns processed activity information. Input: - A string containing HTML content - The HTML may contain a div element with id 'lo-recent-activity-list' - This div may contain multiple li elements, eac...",demo,WRONG_ANSWER,Assertion failed: Test case 1 failed Assertion failed: Test case 2 failed npm notice npm notice New major version of npm available! 10.8.2 -> 11.11.0 npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.11.0 npm notice To update run: npm install -g npm@11.11.0 npm notice,Demo tests completed,,,,
AUD-058,Implement a simple document management system using TypeScript.,"Implement a simple document management system using TypeScript. Create a DocumentSystem class that supports the following features: 1. User registration 2. Document creation and management 3. Document version control Specific requirements: 1. registerUser(username: string, password: string, confirmPassword: string) - Register new user ...",demo,WRONG_ANSWER,Assertion failed npm notice npm notice New major version of npm available! 10.8.2 -> 11.11.0 npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.11.0 npm notice To update run: npm install -g npm@11.11.0 npm notice,Demo tests passed!,,,,
AUD-059,Write a TypeScript class `ESColor` to represent RGB colors with the following functionality:,"Write a TypeScript class `ESColor` to represent RGB colors with the following functionality: 1. The constructor should accept three parameters (red, green, blue components), each in the range 0-255. If values are out of range, they should be automatically clamped to the valid range. 2. Implement the following methods and properties: - ...",demo,WRONG_ANSWER,Assertion failed npm notice npm notice New major version of npm available! 10.8.2 -> 11.11.0 npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.11.0 npm notice To update run: npm install -g npm@11.11.0 npm notice,Demo tests passed,,,,
AUD-060,Implement a Student Campus Management System in TypeScript.,Implement a Student Campus Management System in TypeScript. Create a class `StudentCampusManager` that manages campuses and students with the following functionality: 1. Campus Management: - `addCampus(campusInput)`: Adds a new campus. The input should be an object with `name` (string) and `address` (string) properties. Returns the cre...,full,WRONG_ANSWER,Assertion failed: Test case 4 failed npm notice npm notice New major version of npm available! 10.8.2 -> 11.11.0 npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.11.0 npm notice To update run: npm install -g npm@11.11.0 npm notice,All tests completed,,,,
